block_number, magic_number, block_size, version, previous_block_hash, merkle_root, time, bits, nonce
blk00077.dat,D9B4BEF9,0003285C,00000002,000000000000002C3B71B046907CAFCAD888011DD6C78F1E8CA5D29EB599C801,DFC7791D0BC436E33BAC03A6105A7467872E2958734E867FD627CF43A4CB716B,5217027B,19548732,8D1BAF8E
blk00076.dat,D9B4BEF9,00028775,00000002,000000000000002422D6EDDF03128A20B7BBD94F2E9F2823850E43478B1CEFD0,0ECC9D4FF9B2B31963DF4FD6CC0ED8CF577C3F8D6771B8CA68570260AAF421F5,5210E9F0,19548732,46CA0E54
blk00075.dat,D9B4BEF9,000194DD,00000002,000000000000006A888A5E3450159F47C734639398FBB0E3D5EF9BB1DA5F0343,4D6ECBF7D28C6520C7E2FA316678ED338B303F0B82B905E60DE04058E672794F,520A2F76,1972DBF2,EB480367
blk00054.dat,D9B4BEF9,0006AF75,00000002,00000000000000A52B9DD43515E0148844E11852C03D94D994640FB4C6706370,0D1FBDE6F8E50B18635FAE9B1D0C560C5292A1596674C7A8BE8F39B593E0D92A,5169366B,1A022FBE,E0E59D3E
blk00080.dat,D9B4BEF9,0000F081,00000002,000000000000002A566FB2539A91AA2B0E1554D51630C4F022760FBF2F9B75D2,32E9AFE2EE81EF055B9ED47A589E0AACB714D14228690BC4DA6A0C7266F7CB9C,522C7984,1931679C,DF71520E
blk00071.dat,D9B4BEF9,00034616,00000002,000000000000004335E5725B1C18A73264CD74EAE58B3A0F49011B61DE29997C,FDB125790290FAEE5A83DDD9577BB8493F251F40D9F65954DBD9D00924DAFAB4,51E8309B,1A00A429,E82A3F00
blk00070.dat,D9B4BEF9,00013136,00000002,0000000000000094C9814DF7D5D258E55FE77AC86AF9244FBD99167B36F494E0,1CD4FD5BB3E22E3C5EE2006496CE0F431E23909C79422A18898AA9352195792A,51DED4AE,1A00A429,B4D4C1B7
blk00087.dat,D9B4BEF9,00024743,00000002,00000000000000073A2C40957E34F53995B037070EC8A83B032D38DAB37C6DCE,FEFF38E8EDA13A45178920D4177BCCE2C2636168F5B0D79DA245A76BDA8587AF,525F2470,19100AB6,73D06CB2
blk00078.dat,D9B4BEF9,00017F41,00000002,0000000000000032F8E33B264562B637BD62FBEB0C693366729EF2DD79D5EEE8,0B151880360A4FDB17E8F56875B7BDE601E71F3F9244FB0E26D1BF63ACD5A659,521DF3B7,19415257,77B2B03A
blk00079.dat,D9B4BEF9,0003C23C,00000002,000000000000001EB02C1C5471BFB1CD8DAAE86D0B479A1909F731FDF7B1A990,E9D3F06569BE76F9FF32F7C12645972C4A6AC933A48F2054A3E44410104F0473,522534F3,19415257,83F3B11D
blk00090.dat,D9B4BEF9,0003147B,00000002,0000000000000008140C263D4D4E3223195B6728320B2F20C2B281E397ADE1AC,DADB09461656149F72C81E4789AFFD15A3E508ED91FEF3D3304107F2BFBC223C,5272DAAF,190AFC85,57EC8397
blk00048.dat,D9B4BEF9,0001F1CB,00000001,00000000000001909F3F2F484F28F90E4448E7EE1690727A6C2208CD6663A11A,B4D79F3A51E87FD968E1D395F723404C25C23875336899CD93008FEECF5DF9B9,5142E758,1A0375FA,28A6A87C
blk00049.dat,D9B4BEF9,000225EE,00000001,00000000000001B7837755F5B8068895920404349A7CB5877DE8BB3B8E438FB6,8FBC538087624A104AFF4207B4BEC68EA96C6661BF640F48ED25315CAB47E70F,514B273F,1A0375FA,D5860E2D
blk00063.dat,D9B4BEF9,0003BD41,00000002,000000000000010CA0EE3139D878657B3F92E1A725557F3CDD86C5643B850383,5BF73793C8503CED00D252C8EC01DBB4F085638DFE55E8E5631F71DFB3C85DD6,51A4648D,1A016164,A39F355C
blk00074.dat,D9B4BEF9,0002CBE5,00000002,000000000000005DFCE9BE36F6798C20264CB45974AEB4BEA66658716EB724C5,530BD180E2F1348118430A291DAAAAA09F35087B98687F20598FF04D64A4E6B1,5202B74A,1972DBF2,452C2CFB
blk00072.dat,D9B4BEF9,00024D2B,00000002,0000000000000022F5DA9E2ECA63CF296BB4448C987A382F76A9B35F9022F63D,C800A1E1F655C1DD3C4B0697A091048AA53C2D932E938D65AB0282F7813E2ADB,51F21678,1A008968,C6800596
blk00067.dat,D9B4BEF9,0003CD25,00000002,00000000000000C65820C212E0B63EAD320B446767F5B5DB418161CBAD45EC6C,E26FCF97D11E20DA29AB5F2B9183520FF6DCB08233E1FD7B80D9D7E703228CEC,51C26F06,1A00DE15,6202A16A
blk00069.dat,D9B4BEF9,0000AF7D,00000002,00000000000000571E18EB80562F4566A31CA2047212A48489256174E145B4E9,F72C05C65BEA438CD6E1478F5A68B29AE46D4A3D4003BB5663BB683B67B6B3A8,51D46E23,1A00C94E,D9A6E51D
blk00073.dat,D9B4BEF9,0003CB5E,00000002,0000000000000007E815369E671500EA6FDDB03D759CE27D81C8D0CCAE55E3FD,1B97E0E407446AB3EEC24EFDC0EA6D21DA1961137E6D714B883B5D24DE413933,51FAEE0E,1A008968,5BC40A2B
blk00088.dat,D9B4BEF9,0002C92E,00000002,00000000000000065E2CE252B27F24E8DF3C99D59D6DFE329373BB0F31BD2B3F,FC4C6BD4600590EB31FC3E27E6C031CB72F333BCE311261DA156197C25E53F4D,5265CEF1,19100AB6,6E356A45
blk00081.dat,D9B4BEF9,0002661E,00000002,00000000000000291633C78814B39056CA504625645CF284DDB2F7FFD11F3648,4FD4A4E5F1671EEA0ED85BE9759C4BC174C37B559D8F102F848A380541263EC5,5234376E,1931679C,5A4AAAAE
blk00085.dat,D9B4BEF9,0004C796,00000002,00000000000000021B9179CA9DDED97C5AA8E7F9701AC721575E3D055E3DB7B0,C74032428A4D7229378537FC1E7660A767B7932FE10DDD1C8D0A4A5D63B9BF5A,525087FA,191CDC20,F8E4ABD3
blk00082.dat,D9B4BEF9,0004BE1F,00000002,000000000000001618CC7ECA45B0D97262BD68C99A5E3247A20BF7B08A7E5732,44035FB363A483EBCE1D615F7DF1FBE059750D1EDAEAA49D65BE5E0D08DB7A25,523B1A09,19262222,5B0FA9F2
blk00083.dat,D9B4BEF9,0003CC93,00000002,0000000000000012EF792B482F02A693787A2C6933D1ED6E0BABE19F978B6933,03C6C9BE8C1AA86352B6E67660DD9D5C1E935662C58D315DF2DB484C19AD0052,5241E02E,19262222,4F82D14B
blk00096.dat,D9B4BEF9,0003C5C7,00000002,0000000000000004DD49749D131864E549E1FE3403E1E45605E43B51F8731E06,8D2FE753AC3EFCE713F9AC397F6E5D46CC67846D28E2FCD7474C2D40BE69CBDA,5294E6E8,19070BFB,481B69F9
blk00084.dat,D9B4BEF9,0002D919,00000002,00000000000000147B59CEC72EE3637E45AC15BD5F940536432DE627AAF47CC5,939EE92A1FD368586690F5B089F259BDE30256C66FA7E284C9E94B2BC91D61C5,5249C8F4,191CDC20,C78AD42E
blk00086.dat,D9B4BEF9,0002E6C8,00000002,00000000000000045E4D36B336C9708A4D35C1D53887D54CBD27512C14660735,7D5218531B4B5F7660895F2126EE9308938C162DE5B035999623C22261BAD161,52584178,1916B0CA,8436FE2D
blk00089.dat,D9B4BEF9,0001E9A4,00000002,00000000000000045A61574DD1EE5638FCD38B530DD1E09DD9339BF390170BEE,21B010C9783EC66849FF013AE02D316DB72950760DC8B58522AC867C3EAAE0C2,526B7B97,190AFC85,96FC51D0
blk00097.dat,D9B4BEF9,00079CBD,00000002,00000000000000010BC16BA6EA6EEAE0BD0971D61ECEA7A4AC60AEA5FFF8A5CD,A945C190A20AAD51B2D872C4B300BFFC01F129025B9A957EED1B729849F95536,5298E84E,19061242,FEB76E7A
blk00091.dat,D9B4BEF9,0003CCBB,00000002,0000000000000007745E23259D87A3DE4182786FEAF20B09E27420B2459F4C27,73FB33A90B260051FD5AAF1B30657F4E17BBE3941A47B4D243B0F4C04237BA9A,527A6DB3,190867F3,8385C183
blk00094.dat,D9B4BEF9,00025E00,00000002,0000000000000003EC44C57844B514BDDA7D8034856C670D8183EBAE26BC68FA,4C3CC21BC05BEFE579C8C3C309F0F5DCA26056C74341D963DDDD64839C50803F,528B6A4B,19070BFB,459B37A9
blk00095.dat,D9B4BEF9,00079D69,00000002,000000000000000368EC11B3007E0259091ADCBDCAA0E8F6831A0C328AFD1050,FD3FC1EB750EEB262CAF61088731F43D73A4879D6CF7240FEB83DA3094228827,528FD170,19070BFB,F617F05A
blk00099.dat,D9B4BEF9,00062536,00000002,0000000000000005BD2E875DC2B6AF4591C4936DB06F5F71C61F0496748D38DA,08AA68343142FFD7489D60734E9D09FBC9C06F23C68C09CEDEE79CF4313C5F42,52A2481C,19061242,8662E411
blk00092.dat,D9B4BEF9,00007430,00000002,000000000000000004F3E342CEE7A4BE6D8EFAA3E739CD43AD30457938E977B9,A4A051B05FEEB26B672E6A027080573845918B2E02EF937B1DFCDED67BDC967C,528028C1,190867F3,1B0A4BD4
blk00093.dat,D9B4BEF9,0002017B,00000002,0000000000000006C5351CA55D49FA3CFADFA3D144A66E56C440F9CFAD0C21CF,92B513EF54B23A8BAADE1D67AD0A81DE08BECCD06B15DC8A8C26D779C5A06BC0,5286112E,190867F3,8728478A
blk00098.dat,D9B4BEF9,0003BB85,00000002,0000000000000005FFEF7A393D24713F0BBF7DBB75DF0EB005A5FEFAB4E1A566,C7DABA3C2525E1152CCD981F46FB58B24B4C91162986F83915855A67BE3B0B24,529DBC1C,19061242,ACDF4732
